id,price
12000,30.0
20966,14.0
31214,68.0
50017,20.0
14306,19.0
66652,15.0
96043,25.0
123735,26.0
9544,60.0
86140,15.0
3691,65.0
50960,10.0
5665,24.0
66549,17.0
49856,30.0
79535,42.0
128462,40.0
80476,20.0
17531,34.0
31126,29.0
125936,40.0
20109,17.0
125468,90.0
54552,39.0
18337,10.0
54580,20.0
58611,35.0
28993,15.0
27040,16.0
82007,22.0
25408,23.0
27734,18.0
40002,18.0
109016,20.0
100576,30.0
90049,65.0
1782,33.0
72496,15.0
56711,15.0
94855,50.0
34048,28.0
63270,22.0
42119,10.0
108712,25.0
37956,10.0
40404,17.0
13448,35.0
32655,20.0
7970,20.0
33820,13.0
86711,30.0
77421,35.0
21687,45.0
21984,26.0
95965,19.0
123074,64.0
121552,28.0
105795,25.0
80070,42.0
126890,14.0
47886,16.0
59299,75.0
112233,16.0
44850,6.0
31125,10.0
49561,60.0
116298,75.0
85850,35.0
33050,11.0
33846,85.0
454,30.0
88517,8.0
98656,30.0
83274,12.0
82694,8.0
108182,15.0
85852,19.0
85689,15.0
28846,75.0
54136,140.0
25496,12.0
45713,40.0
71267,12.0
124816,20.0
53208,12.0
70688,30.0
107496,25.0
8893,224.0
120179,12.0
122050,34.0
42024,70.0
79334,65.0
38516,16.0
81801,14.0
37094,15.0
96102,17.0
103879,40.0
79371,40.0
123669,19.0
95507,34.0
28892,20.0
43019,14.0
50431,14.0
94511,35.0
35529,23.0
62624,17.0
80906,60.0
124227,38.0
95728,7.0
65140,32.0
33254,50.0
103820,28.0
92898,22.0
42281,40.0
28939,80.0
125065,10.0
11598,6.0
110063,14.0
117396,30.0
119054,30.0
9378,19.0
107115,20.0
125406,29.0
60607,13.0
82329,35.0
118928,13.0
15547,140.0
49172,22.0
30213,45.0
49762,25.0
26381,45.0
14866,30.0
40208,25.0
17457,13.0
60764,23.0
77455,45.0
75327,60.0
69556,10.0
119455,11.0
61183,19.0
71932,30.0
47167,64.0
22215,9.0
126104,16.0
34267,45.0
96099,36.0
52,14.0
127897,40.0
4319,40.0
120760,45.0
66231,65.0
28447,13.0
73185,63.0
48027,10.0
92584,25.0
14664,38.0
117495,27.0
36670,43.0
26277,18.0
67131,15.0
33069,22.0
103469,35.0
72030,25.0
71875,12.0
72415,28.0
72274,15.0
24609,34.0
63651,12.0
39864,36.0
101143,50.0
50876,26.0
44553,55.0
41055,13.0
125301,95.0
97708,18.0
53478,20.0
128007,60.0
94450,80.0
112498,20.0
112837,45.0
370,160.0
13623,12.0
76813,15.0
24341,15.0
50659,30.0
84298,20.0
77546,19.0
93349,18.0
101372,23.0
76772,31.0
6607,16.0
104152,26.0
115771,49.0
119600,38.0
62827,14.0
34715,26.0
96018,30.0
56072,18.0
129206,12.0
84158,100.0
113225,32.0
114487,10.0
74332,10.0
38640,24.0
22371,140.0
79850,16.0
29820,50.0
118901,21.0
125834,110.0
4358,20.0
124994,30.0
1007,21.0
91422,16.0
10363,40.0
24788,15.0
104589,14.0
71503,23.0
75738,13.0
29802,225.0
92772,28.0
57555,22.0
58286,19.0
120851,38.0
14883,20.0
33506,12.0
118390,10.0
80208,25.0
109671,11.0
80925,40.0
8460,32.0
19420,34.0
12889,120.0
14930,10.0
62602,14.0
22328,115.0
113963,14.0
83840,10.0
96338,62.0
88111,50.0
20962,21.0
710,120.0
120875,50.0
46738,10.0
19779,35.0
4679,40.0
128614,24.0
98426,35.0
33280,37.0
113116,25.0
106074,15.0
107903,20.0
56870,10.0
50059,55.0
60983,23.0
75441,38.0
108652,120.0
86771,56.0
83518,12.0
25271,26.0
53946,25.0
79246,15.0
45882,9.0
10485,20.0
105996,17.0
50222,13.0
46012,85.0
89586,35.0
90124,20.0
120491,25.0
41321,60.0
62423,22.0
23901,21.0
26307,22.0
72046,16.0
18366,14.0
83926,30.0
11502,50.0
72551,37.0
63186,35.0
12916,36.0
42474,54.0
46731,40.0
121758,45.0
32549,65.0
60865,8.0
28975,17.0
79550,25.0
120021,40.0
77170,42.0
113549,10.0
60682,11.0
20243,35.0
61374,42.0
82757,328.0
73334,16.0
115353,29.0
26229,18.0
94913,17.0
67360,38.0
75931,35.0
123327,13.0
45391,10.0
70652,14.0
78015,40.0
98596,12.0
54902,22.0
19026,24.0
86215,15.0
119737,90.0
102805,40.0
81036,35.0
113509,22.0
35004,40.0
100607,20.0
120842,22.0
107776,11.0
50402,24.0
108554,28.0
119927,44.0
41437,40.0
120801,17.0
55085,16.0
88988,66.0
20332,55.0
19185,25.0
65785,18.0
62548,27.0
48873,14.0
87922,68.0
123732,130.0
17327,35.0
116813,11.0
120850,24.0
29178,34.0
118312,69.0
104114,40.0
47480,40.0
24708,18.0
91983,20.0
45804,40.0
2076,37.0
125649,36.0
26140,39.0
51758,95.0
25333,130.0
25141,45.0
54933,19.0
43885,76.0
28253,35.0
3744,90.0
82220,19.0
37294,36.0
82769,100.0
105269,22.0
104207,40.0
47570,30.0
41814,40.0
96608,19.0
73282,17.0
98171,20.0
75423,11.0
90050,48.0
124700,25.0
74479,25.0
63573,70.0
124740,25.0
29009,24.0
98449,117.0
63753,15.0
86857,24.0
94014,22.0
23314,22.0
58254,41.0
87525,50.0
48288,45.0
73263,15.0
79978,28.0
95604,13.0
96142,64.0
12610,45.0
83104,40.0
81229,14.0
14248,15.0
122604,28.0
84239,38.0
53398,42.0
56679,26.0
30864,17.0
117815,48.0
26849,18.0
59542,70.0
20355,40.0
47935,21.0
84745,30.0
110949,10.0
55105,30.0
97906,12.0
44998,370.0
36422,20.0
107565,14.0
104667,22.0
111377,22.0
114366,45.0
89787,25.0
99792,43.0
13267,15.0
127527,75.0
79545,50.0
124570,7.0
17296,125.0
65461,20.0
85414,50.0
51435,23.0
30889,13.0
87915,25.0
52366,11.0
33687,15.0
108886,60.0
29048,48.0
29476,18.0
75121,36.0
14618,22.0
38587,10.0
25591,13.0
103474,22.0
20365,42.0
3277,18.0
99902,65.0
6530,20.0
18950,24.0
7338,32.0
72719,22.0
70435,56.0
42388,80.0
97911,18.0
13129,12.0
121764,30.0
95693,34.0
33842,90.0
23086,23.0
50452,18.0
63046,100.0
10889,19.0
47581,35.0
44491,46.0
32322,35.0
100130,30.0
26733,32.0
129416,44.0
129427,19.0
10105,16.0
36772,20.0
2326,10.0
63692,18.0
67580,17.0
73596,23.0
99493,30.0
21402,28.0
76825,9.0
47726,20.0
96112,13.0
89168,65.0
90220,17.0
31071,30.0
33053,14.0
114446,27.0
81447,13.0
127090,38.0
66196,22.0
122270,30.0
102088,19.0
38326,10.0
53960,32.0
1975,15.0
32220,13.0
112811,60.0
86143,20.0
121416,8.0
96903,20.0
85932,20.0
75963,16.0
118176,22.0
33125,65.0
84214,85.0
5278,20.0
80235,15.0
31240,10.0
117542,25.0
12975,12.0
90821,49.0
122054,20.0
110849,20.0
119991,100.0
116700,10.0
23891,24.0
129205,9.0
14050,62.0
48909,85.0
56559,24.0
119355,12.0
123145,20.0
3764,13.0
53649,35.0
121596,19.0
27627,10.0
74704,10.0
51853,40.0
2835,30.0
14178,60.0
30314,8.0
24177,13.0
46005,45.0
31168,20.0
124943,13.0
123190,11.0
9079,20.0
103975,16.0
96327,25.0
121165,95.0
1667,12.0
90908,639.0
19007,95.0
32119,22.0
2682,35.0
32292,116.0
113911,14.0
19636,22.0
26685,35.0
129115,18.0
113049,72.0
81970,14.0
15717,18.0
77669,19.0
59643,16.0
92220,13.0
73698,85.0
12239,45.0
49400,17.0
65938,13.0
102268,25.0
69312,38.0
85634,50.0
62157,9.0
87111,30.0
39236,20.0
112766,75.0
128734,34.0
43992,8.0
43357,45.0
11609,11.0
82790,60.0
28255,20.0
21428,29.0
17507,23.0
29193,200.0
55940,16.0
41572,13.0
61290,42.0
28998,12.0
4616,8.0
79128,28.0
28382,29.0
78275,32.0
3579,25.0
53977,32.0
124141,19.0
36645,162.0
120396,20.0
79377,42.0
94357,10.0
61227,20.0
74873,12.0
116747,34.0
38676,27.0
35731,75.0
40542,45.0
100669,32.0
98753,24.0
121608,19.0
124075,60.0
52478,32.0
72479,14.0
65784,24.0
105447,28.0
67530,11.0
66794,65.0
4253,23.0
1707,23.0
122948,130.0
118423,20.0
93564,40.0
66507,12.0
25943,9.0
15130,35.0
46928,19.0
78714,45.0
65214,60.0
95709,19.0
107645,39.0
122618,12.0
17976,49.0
55047,9.0
9889,40.0
91599,13.0
39173,15.0
93927,40.0
47253,12.0
39867,22.0
13296,25.0
71720,80.0
74564,48.0
9798,50.0
129401,19.0
18916,15.0
77013,19.0
103853,32.0
29217,38.0
9489,19.0
16985,12.0
108933,14.0
20701,35.0
502,18.0
6911,70.0
100481,42.0
81810,40.0
73485,90.0
14685,80.0
10201,35.0
96619,18.0
79685,12.0
114174,30.0
116603,39.0
4769,24.0
75667,36.0
75862,19.0
2103,22.0
35176,26.0
91575,40.0
91107,29.0
26335,12.0
61206,45.0
84746,29.0
5268,28.0
88008,13.0
90126,16.0
31678,18.0
123243,32.0
82097,22.0
103219,50.0
69538,40.0
49065,21.0
91178,9.0
31714,35.0
28320,12.0
93781,55.0
83387,25.0
70733,32.0
66703,17.0
71668,32.0
127476,90.0
